NOC,Total_Gold,Total_Silver,Total_Bronze,Grand_Total
USA,392,354,323,1069
CHN,289,214,185,688
GER,200,199,193,592
RUS,194,164,185,543
FRA,118,140,155,413
GBR,137,126,141,404
AUS,113,124,140,377
ITA,106,109,144,359
JPN,114,101,123,338
CAN,96,109,129,334
KOR,109,102,85,296
NED,105,91,96,292
NOR,109,84,83,276
CUB,51,45,65,161
UKR,41,44,75,160
AUT,44,51,65,160
SWE,51,62,43,156
SUI,55,43,53,151
ESP,35,58,49,142
HUN,56,42,43,141
BRA,31,39,61,131
POL,36,37,44,117
CZE,32,33,41,106
BLR,21,37,48,106
NZL,39,31,30,100
ROU,34,31,33,98
KAZ,16,28,42,86
KEN,26,31,28,85
FIN,14,28,36,78
DEN,19,24,29,72
JAM,23,26,21,70
BUL,18,22,29,69
GRE,20,21,19,60
TUR,15,15,29,59
CRO,20,20,16,56
AZE,9,16,31,56
IRI,23,17,15,55
SLO,14,18,21,53
UZB,19,8,23,50
ETH,18,14,17,49
GEO,13,15,19,47
BEL,13,11,21,45
SVK,14,18,11,43
RSA,12,19,11,42
PRK,10,13,17,40
TPE,9,9,21,39
THA,11,10,16,37
MEX,4,14,19,37
INA,8,11,15,34
ARG,9,8,16,33
LTU,5,9,14,28
IRL,10,5,12,27
IND,2,7,18,27
LAT,5,10,9,24
ARM,2,11,9,22
POR,4,7,8,19
NGR,3,7,9,19
MGL,2,7,9,18
MAR,4,3,10,17
ALG,6,4,6,16
MAS,0,8,6,14
HKG,4,3,6,13
BAH,7,2,4,13
TUN,5,2,6,13
TTO,2,3,7,12
ECU,4,4,2,10
PHI,3,4,3,10
MDA,0,3,7,10
UGA,4,2,2,8
YUG,2,2,3,7
PUR,2,1,4,7
NAM,0,3,0,3
SYR,1,0,2,3
CRC,1,0,2,3
ZAM,0,1,1,2
BDI,1,1,0,2
MOZ,1,0,1,2
TGA,0,1,0,1
